TheMovies;Hjerm;03-04-2020 21:00;Parasite;Gyser;132;Bong Joon Ho;02-12-2019;xalenaw505@breazeim.com;74839165
TheMovies;Hjerm;05-06-2020 15:00;Terrifier;Gyser;86;Damien Leone;15-03-2018;christianvjohnsen@gmail.com;75928465
TheMovies;Hjerm;07-08-2020 19:00;Lighthouse;Gyser;109;Robert Eggers;18-10-2019;TonniBondeAwesome@gmail.com;85729584
TheMovies;Hjerm;20-05-2020 19:00;Ladybird;Drama;94;Greta Gerwig;03-11-2017;TonniBondeMate@gmail.com;86927583
TheMovies;Hjerm;10-01-2020 21:00;Parasite;Gyser;132;Bong Joon Ho;02-12-2019;Benjamin.telsing123@gmail.com;16473826
TheMovies;Thorsminde;20-05-2020 15:00;Ladybird;Drama;94;Greta Gerwig;03-11-2017;Lukeemiya123@gmail.com;96738572
TheMovies;Thorsminde;07-08-2020 19:00;Terrifier;Gyser;86;Damien Leone;15-03-2018;Vuong@hotmail.com;25463781
TheMovies;Thorsminde;07-08-2020 19:00;Parasite;Gyser;132;Bong Joon Ho;02-12-2019;Johan@yousee.dk;75937584
TheMovies;Thorsminde;20-05-2020 19:00;Lighthouse;Gyser;109;Robert Eggers;18-10-2019;Peter@plys.dk;75829581
TheMovies;Thorsminde;10-01-2020 21:00;Ladybird;Drama;94;Greta Gerwig;03-11-2017;Hugo@bjørn.com;17594837
TheMovies;Videbæk;05-04-2020 19:00;Parasite;Gyser;132;Bong Joon Ho;02-12-2019;Sly@cooper.eu;85028564
TheMovies;Videbæk;01-01-2020 21:00;Ladybird;Drama;94;Greta Gerwig;03-11-2017;Crash@bandicoot.dk;36471945
TheMovies;Videbæk;30-11-2020 15:00;Terrifier;Gyser;86;Damien Leone;15-03-2018;Ash@pikachu.fr;27398657
TheMovies;Videbæk;05-04-2020 19:00;Lighthouse;Gyser;109;Robert Eggers;18-10-2019;sprit@flaske.eu;85728462
TheMovies;Videbæk;01-01-2020 21:00;Parasite;Gyser;132;Bong Joon Ho;02-12-2019;super@mario.com;85721756
TheMovies;Ræhr;30-11-2020 15:00;Ladybird;Drama;94;Greta Gerwig;03-11-2017;Jimmy@newtron.dk;12846273
TheMovies;Ræhr;12-02-2020 21:00;Lighthouse;Gyser;109;Robert Eggers;18-10-2019;BillNye@thescienceguy.com;34275615
TheMovies;Ræhr;12-12-2020 21:00;Terrifier;Gyser;86;Damien Leone;15-03-2018;GrandTheft@Auto.eu;32415647
TheMovies;Ræhr;26-12-2020 19:00;Lighthouse;Gyser;109;Robert Eggers;18-10-2019;Counter@strike.com;34857153
TheMovies;Ræhr;02-05-2020 15:00;Parasite;Gyser;132;Bong Joon Ho;02-12-2019;Pac@man.dk;75835165
